latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.1426,-120.6612,343.4,1.2,1.1,2010-01-11,2127,Aqua,MODIS,92,6.2,283.5,69.7,D,0
33.13,-115.4806,406.8,1.0,1.0,2010-01-15,2101,Aqua,MODIS,100,6.2,303.0,298.8,D,0
33.1286,-115.4913,341.3,1.0,1.0,2010-01-15,2101,Aqua,MODIS,91,6.2,294.4,42.7,D,0
33.139,-115.4824,340.4,1.0,1.0,2010-01-15,2101,Aqua,MODIS,91,6.2,294.2,41.6,D,0
33.4539,-114.6899,339.8,1.1,1.0,2010-01-30,1839,Terra,MODIS,91,6.2,294.7,47.7,D,0
33.0391,-115.5449,353.3,1.1,1.0,2010-02-02,2049,Aqua,MODIS,97,6.2,289.0,79.0,D,0
32.6596,-115.6021,352.6,1.1,1.1,2010-02-02,2049,Aqua,MODIS,97,6.2,290.4,77.6,D,0
32.8344,-115.6164,353.5,2.0,1.4,2010-02-12,2126,Aqua,MODIS,97,6.2,302.4,176.8,D,0
41.3102,-120.5485,348.0,1.0,1.0,2010-03-18,2115,Aqua,MODIS,95,6.2,301.7,55.1,D,0
39.3472,-122.1888,355.7,1.3,1.1,2010-03-20,2103,Aqua,MODIS,98,6.2,277.3,107.4,D,0
39.3375,-122.2365,340.9,1.2,1.1,2010-03-23,2133,Aqua,MODIS,92,6.2,304.8,51.0,D,0
38.8378,-122.1854,346.4,1.1,1.0,2010-03-24,1857,Terra,MODIS,94,6.2,295.9,57.2,D,0
38.8262,-120.7361,366.4,1.0,1.0,2010-03-24,1857,Terra,MODIS,100,6.2,280.4,108.1,D,0
39.3095,-122.2087,361.2,1.1,1.0,2010-03-24,1857,Terra,MODIS,100,6.2,303.1,93.0,D,0
39.3111,-122.2211,371.6,1.1,1.0,2010-03-24,1857,Terra,MODIS,100,6.2,303.0,129.3,D,0
36.5825,-119.2943,349.1,1.0,1.0,2010-04-09,1857,Terra,MODIS,95,6.2,298.5,58.0,D,0
36.5916,-119.2921,344.8,1.0,1.0,2010-04-09,1857,Terra,MODIS,93,6.2,298.9,48.9,D,0
39.43,-120.9722,347.2,1.2,1.1,2010-04-17,2127,Aqua,MODIS,94,6.2,297.1,68.7,D,0
39.4316,-120.9585,362.9,1.2,1.1,2010-04-17,2127,Aqua,MODIS,100,6.2,297.2,117.1,D,0
38.6191,-122.155,356.6,1.1,1.0,2010-04-25,1856,Terra,MODIS,98,6.2,299.1,81.2,D,0
35.6943,-118.29,347.9,1.1,1.0,2010-05-05,2113,Aqua,MODIS,92,6.2,309.9,51.6,D,0
35.6929,-118.3016,359.6,1.1,1.0,2010-05-05,2113,Aqua,MODIS,99,6.2,313.2,80.9,D,0
32.7722,-114.572,392.8,1.1,1.1,2010-05-06,1839,Terra,MODIS,100,6.2,321.5,240.3,D,0
32.9669,-115.4088,354.5,4.6,2.0,2010-05-07,1922,Terra,MODIS,97,6.2,303.0,564.4,D,0
38.9315,-121.461,343.8,1.2,1.1,2010-05-07,2102,Aqua,MODIS,93,6.2,310.7,49.2,D,0
40.7959,-121.2729,346.0,1.1,1.1,2010-05-07,2103,Aqua,MODIS,93,6.2,299.6,55.9,D,0
34.0188,-117.48,361.9,1.3,1.1,2010-05-12,2119,Aqua,MODIS,100,6.2,313.7,107.0,D,0
35.0607,-119.8914,347.1,1.4,1.2,2010-05-15,1833,Terra,MODIS,92,6.2,315.6,66.1,D,0
35.0567,-119.8982,357.8,1.4,1.2,2010-05-15,1833,Terra,MODIS,98,6.2,317.4,108.2,D,0
33.8577,-117.5161,315.1,1.0,1.0,2010-05-21,553,Terra,MODIS,91,6.2,289.2,15.1,N,0
33.1419,-115.4269,384.8,1.8,1.3,2010-05-27,1858,Terra,MODIS,100,6.2,307.6,390.8,D,0
33.1381,-115.4081,357.0,1.8,1.3,2010-05-27,1858,Terra,MODIS,98,6.2,305.6,159.7,D,0
33.1433,-115.4121,363.6,1.8,1.3,2010-05-27,1858,Terra,MODIS,100,6.2,306.1,204.0,D,0
32.7292,-115.6781,346.1,1.8,1.3,2010-05-27,1858,Terra,MODIS,91,6.2,305.8,100.8,D,0
36.3438,-119.4591,319.6,1.0,1.0,2010-05-30,1004,Aqua,MODIS,99,6.2,284.7,21.7,N,0
32.8965,-115.6935,357.8,1.0,1.0,2010-05-31,1833,Terra,MODIS,98,6.2,318.8,57.0,D,0
37.7398,-118.95,350.4,1.1,1.1,2010-06-01,2055,Aqua,MODIS,95,6.2,285.3,72.3,D,0
32.6747,-115.6627,352.2,1.3,1.1,2010-06-03,2042,Aqua,MODIS,94,6.2,311.5,76.8,D,0
35.8174,-118.9943,368.7,1.3,1.1,2010-06-04,2125,Aqua,MODIS,100,6.2,311.9,138.9,D,0
35.8277,-118.9959,352.4,1.3,1.1,2010-06-04,2125,Aqua,MODIS,94,6.2,311.2,70.5,D,0
35.8261,-119.0105,386.6,1.3,1.1,2010-06-04,2125,Aqua,MODIS,100,6.2,314.8,245.9,D,0
32.7941,-115.7157,383.5,2.1,1.4,2010-06-05,2029,Aqua,MODIS,100,6.2,315.0,434.0,D,0
34.1412,-117.3603,351.1,1.1,1.0,2010-06-06,2113,Aqua,MODIS,93,6.2,317.4,44.8,D,0
34.1398,-117.3722,371.6,1.1,1.0,2010-06-06,2113,Aqua,MODIS,100,6.2,320.3,110.8,D,0
