latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.5422,-78.3047,304.8,2.8,1.6,2000-11-01,0250,Terra,MODIS,23,6.2,280.9,40.3,N,0
38.5563,-78.3084,309.4,2.8,1.6,2000-11-01,0250,Terra,MODIS,70,6.2,280.4,54.5,N,0
38.5451,-78.3107,309.9,2.8,1.6,2000-11-01,0250,Terra,MODIS,79,6.2,280.7,58.8,N,0
38.5586,-78.317,302.3,2.8,1.6,2000-11-01,0250,Terra,MODIS,45,6.2,279.8,36,N,0
31.3393,-89.9124,304.9,1,1,2000-11-01,0427,Terra,MODIS,62,6.2,287.5,8.5,N,0
31.8636,-95.226,308.6,1.3,1.1,2000-11-01,0427,Terra,MODIS,75,6.2,290.9,13.4,N,0
31.8611,-95.2398,308.3,1.3,1.1,2000-11-01,0427,Terra,MODIS,74,6.2,290.9,13.1,N,0
32.6448,-94.6467,303.3,1.2,1.1,2000-11-01,0427,Terra,MODIS,54,6.2,290.1,7.4,N,0
36.5423,-83.8422,306.7,2.5,1.5,2000-11-01,0428,Terra,MODIS,69,6.2,274.1,40.9,N,0
36.6431,-83.9605,309.4,2.4,1.5,2000-11-01,0428,Terra,MODIS,77,6.2,278.3,44.2,N,0
36.6376,-83.9651,307.6,2.4,1.5,2000-11-01,0428,Terra,MODIS,72,6.2,276.4,39.6,N,0
36.7139,-84.2139,302.4,2.3,1.5,2000-11-01,0428,Terra,MODIS,49,6.2,274.5,32.1,N,0
36.7099,-84.2202,300.9,2.3,1.5,2000-11-01,0428,Terra,MODIS,36,6.2,274.6,29.2,N,0
41.637,-87.1427,301.6,1.8,1.3,2000-11-01,0430,Terra,MODIS,43,6.2,277.5,18.2,N,2
38.4464,-120.3885,302.9,1.1,1.1,2000-11-01,0608,Terra,MODIS,52,6.2,273.5,11.3,N,0
43.489,-123.6513,302.9,1.3,1.1,2000-11-01,0609,Terra,MODIS,52,6.2,271.5,14.1,N,0
45.8963,-121.42,300.2,1,1,2000-11-01,0610,Terra,MODIS,21,6.2,271.6,9.1,N,0
45.9396,-121.2588,305.2,1,1,2000-11-01,0610,Terra,MODIS,63,6.2,268.8,11.2,N,0
46.0096,-121.4078,308.3,1,1,2000-11-01,0610,Terra,MODIS,74,6.2,267.7,14.3,N,0
42.2938,-83.1669,303.8,1.3,1.1,2000-11-01,1628,Terra,MODIS,57,6.2,290,6.7,D,2
42.2854,-86.1847,316.5,1.9,1.3,2000-11-01,1628,Terra,MODIS,77,6.2,288.9,34.8,D,0
41.4592,-81.6709,308.9,1.1,1,2000-11-01,1628,Terra,MODIS,68,6.2,291.3,8.5,D,2
39.4912,-74.8548,308.5,1.4,1.2,2000-11-01,1629,Terra,MODIS,67,6.2,288.1,15.3,D,0
39.2178,-76.4796,304.5,1.2,1.1,2000-11-01,1629,Terra,MODIS,0,6.2,292.6,7.1,D,2
39.2426,-78.166,303.5,1,1,2000-11-01,1629,Terra,MODIS,56,6.2,288.3,6.1,D,0
38.619,-78.3248,351.1,1,1,2000-11-01,1629,Terra,MODIS,96,6.2,291.8,69.1,D,0
38.6171,-78.3126,354.7,1.1,1,2000-11-01,1629,Terra,MODIS,98,6.2,289.4,78.8,D,0
38.6099,-78.3268,373.5,1,1,2000-11-01,1629,Terra,MODIS,100,6.2,292.8,138.2,D,0
38.608,-78.3147,346.9,1.1,1,2000-11-01,1629,Terra,MODIS,95,6.2,287.2,61.1,D,0
38.5568,-78.2905,322.6,1.1,1,2000-11-01,1629,Terra,MODIS,42,6.2,287.3,20.3,D,0
38.5517,-78.3173,350.7,1.1,1,2000-11-01,1629,Terra,MODIS,73,6.2,289,65.2,D,0
38.5453,-78.3253,337.6,1.1,1,2000-11-01,1629,Terra,MODIS,91,6.2,287.4,42.5,D,0
38.5434,-78.3132,348.2,1.1,1,2000-11-01,1629,Terra,MODIS,95,6.2,292,62.8,D,0
38.5414,-78.3009,339.9,1.1,1,2000-11-01,1629,Terra,MODIS,92,6.2,291.5,46.6,D,0
38.5343,-78.3155,308.6,1.1,1,2000-11-01,1629,Terra,MODIS,67,6.2,286.5,10.2,D,0
38.5323,-78.3032,313.6,1.1,1,2000-11-01,1629,Terra,MODIS,74,6.2,285.7,14.1,D,0
38.0417,-78.1372,302.9,1.1,1,2000-11-01,1629,Terra,MODIS,54,6.2,289.4,5.9,D,0
38.3304,-81.2146,313.7,1,1,2000-11-01,1629,Terra,MODIS,74,6.2,290.3,12.7,D,0
37.9963,-81.4002,305.8,1,1,2000-11-01,1629,Terra,MODIS,62,6.2,291.5,6.8,D,0
37.4146,-77.6285,300.8,1.1,1.1,2000-11-01,1629,Terra,MODIS,41,6.2,289.3,4.6,D,0
37.9054,-82.4474,301.7,1.1,1,2000-11-01,1629,Terra,MODIS,26,6.2,291.3,3.5,D,0
37.8053,-81.6854,314.6,1,1,2000-11-01,1629,Terra,MODIS,75,6.2,287.8,14.1,D,0
37.8037,-81.6737,312.7,1,1,2000-11-01,1629,Terra,MODIS,73,6.2,288.6,11.8,D,0
37.8005,-81.6504,310.2,1,1,2000-11-01,1629,Terra,MODIS,70,6.2,288.2,9.3,D,0
37.799,-81.6387,312,1,1,2000-11-01,1629,Terra,MODIS,72,6.2,289.9,11,D,0
37.8009,-81.7223,309.3,1,1,2000-11-01,1629,Terra,MODIS,68,6.2,288.3,10,D,0
37.8884,-82.4632,303.7,1.1,1,2000-11-01,1629,Terra,MODIS,57,6.2,291.7,4.9,D,0
37.8868,-82.4509,302.7,1.1,1,2000-11-01,1629,Terra,MODIS,53,6.2,291.7,4.2,D,0
37.2285,-78.0574,333.1,1.1,1,2000-11-01,1629,Terra,MODIS,88,6.2,292,37.6,D,0
37.2264,-78.0452,322.1,1.1,1,2000-11-01,1629,Terra,MODIS,81,6.2,289.6,22.6,D,0
37.769,-81.6927,302.3,1,1,2000-11-01,1629,Terra,MODIS,51,6.2,289.5,5,D,0
37.7674,-81.6811,305.7,1,1,2000-11-01,1629,Terra,MODIS,62,6.2,289.3,7,D,0
37.8899,-82.7031,314.3,1.1,1,2000-11-01,1629,Terra,MODIS,75,6.2,291.1,13.6,D,0
37.884,-82.6983,305.8,1.1,1,2000-11-01,1629,Terra,MODIS,62,6.2,291.4,7,D,0
37.6939,-81.4067,320.1,1,1,2000-11-01,1629,Terra,MODIS,79,6.2,291.7,16.3,D,0
37.6849,-81.4087,318.6,1,1,2000-11-01,1629,Terra,MODIS,61,6.2,291.4,14.5,D,0
37.6327,-81.2321,301.5,1,1,2000-11-01,1629,Terra,MODIS,21,6.2,291.1,2.9,D,0
